"Country Name","GNI per capita(usd)","Unemployment, total (% of total labor force)","Current health expenditure (% of GDP)","Urban population (% of total population)","School enrollment, secondary (% gross)","Life expectancy at birth, total (years)"
"Turkmenistan","14557.2","4.452","5.56931353","52.998","91.967338562012","69.264"
"Latin America & the Caribbean (IDA & IBRD countries)","8086.6043212926","9.3014576390085","8.305773307449","81.384799502824","97.234008789062","72.077319368986"
"Middle East & North Africa (IDA & IBRD countries)","3505.0160111207","11.541943103678","5.4676195943063","62.02650424878","76.095550537109","71.881130536708"
"Tonga","4970","2.111","6.27256584","23.104","100.28605186245","70.986"
"South Asia (IDA & IBRD)","2097.7413015728","6.4458971933318","3.265601845896","35.351924992679","73.05265045166","67.579129046382"
"Sub-Saharan Africa (IDA & IBRD countries)","1581.6174357467","6.6968192987539","5.1036247516","41.830052868299","45.000591278076","60.241743463186"
"Turkiye","10010","11.969","4.57","76.569","114.14733123779","76.032"
"Tuvalu","6830","7.87","19.96582222","64.785","90.007186889648","64.547"
"Tanzania","1120","2.806","3.36136484","35.954","27.908069610596","66.201"
"Ukraine","4110","9.834","8.01","69.757","84.651626586914","69.647804878049"
"Upper middle income","9341.116709539","6.3161596400082","5.8220111002621","67.231199248229","94.986701965332","74.89401587936"
"Uruguay","16080","9.301","9.3592062","95.603","120.23648834228","75.436"
"United States","71330","5.349","17.3625679","82.873","101.19248962402","76.329268292683"
"Uzbekistan","1980","5.345","7.74","50.427","86.056239523676","70.862"
"St. Vincent and the Grenadines","8490","20.279","5.36252117","53.452","129.43968358603","69.629"
"Viet Nam","3590","2.385","4.59346437","38.052","96.066742849723","73.618"
"Vanuatu","3350","4.734","4.3733778","25.665","57.86408996582","70.449"
"South Africa","6540","28.77","8.27309132","67.847","111.80196380615","62.341"
